Industry,Occupation,Person,Year,Content,Type,ID
Hollywood,Actor,Kevin Spacey,2016,"The former Boston TV news anchor held a press conference Nov. 8 in Boston to accuse Spacey of groping the genitals of her then-18-year-old son in a bar on Nantucket, Mass., in July 2016. Unruh said her son filed a report on the allegation with police and ""a criminal investigation has been opened,"" though police said they could not confirm or deny that due to state law. If confirmed, his case would be the first under police investigation in America. And as the most recent, it could potentially lead to criminal charges.",Allegation,14
Hollywood,Actor,Kevin Spacey,1981,"In 1981, the NYU grad was working at The Public Theater in New York when Spacey, then 22 and an up-and-coming actor with a minor role in their production of Henry IV, Part 1, committed what he termed a ""wordless assault."" Holtzman told USA TODAY he was on a phone call when Spacey began his attack. ""Within minutes, wordlessly, he was up and all over me,"" Holtzman, now a 64-year-old marketing consultant, recalled. ""The aggression was certainly more than a grope. When I was finally able to push him off and scream (at him), he theatrically stepped back, incredibly angry, grabbed his coat and bag, stormed out and slammed the door.""",Allegation,15
Hollywood,Actor,Kevin Spacey,1995,Academy Award for Best Supporting Actor for the neo-noir crime thriller The Usual Suspects.,Achievement,16
Hollywood,Actor,Kevin Spacey,1999,Academy Award for Best Actor for the midlife crisis-themed drama American Beauty.,Achievement,17
Hollywood,Actor,Kevin Spacey,1991,Spacey won a Tony Award in 1991 for his role in Lost in Yonkers.,Achievement,18
Hollywood,Actor,Kevin Spacey,2017,"In 2017, he hosted the 71st Tony Awards.",Achievement,19
Hollywood,Actor,Kevin Spacey,1997,Hosted Saturday Night Live.,Achievement,20
Hollywood,Actor,Kevin Spacey,2006,Hosted Saturday Night Live.,Achievement,21
Hollywood,Actor,Kevin Spacey,1999,Honored with a star on the Hollywood Walk of Fame.,Achievement,22
Hollywood,Actor,Kevin Spacey,2016,Honorary knighthood for his services to theatre.,Achievement,23
Hollywood,Actor,Kevin Spacey,2013,He was nominated for the Primetime Emmy Award for Outstanding Lead Actor in a Drama Series at the 65th Primetime Emmy Awards in 2013.,Achievement,24
Hollywood,Screenwriter,James Toback,2003,Coerced Sami Karin to to his hotel room and asked her to take her clothes off. Rubbed his groin against her in efforts to get off.,Allegation,25
Hollywood,Screenwriter,James Toback,1987,"Louise Post, a singer and guitarist for the indie rock band Veruca Salt, was among the accusers named in The Times on Sunday; she said Mr. Toback lured her to his apartment in 1987.",Allegation,26
Hollywood,Screenwriter,James Toback,1999,"Selma Blair said that in 1999 Mr. Toback had invited her to his hotel room and convinced her to take off his shirt. Then, she said, he forced her to sit down and rubbed his groin against her leg.",Allegation,27
Hollywood,Screenwriter,James Toback,2001,"Chantal Cousineau was 19 and living in Toronto when, she says, she was asked to meet Toback for an audition for â€œHarvard Manâ€ù in 2001. The encounter began in a hotel restaurant and ended in his hotel room, with Cousineau prepared to walk away after Toback kept talking about masturbation.",Allegation,28
Hollywood,Screenwriter,James Toback,1980,"Julianne Moore, 56, an Oscar winner who stars in this monthâ€™s â€œSuburbicon,â€ù said on Twitter that Mr. Toback approached her twice during the 1980s. She said that he had invited her to his apartment and then approached her again about a month later using similar language, as though he had forgotten his first attempt.",Allegation,29
Hollywood,Screenwriter,James Toback,2003,"Scott was an 18-year-old senior at Manhattanâ€™s Hunter College High School when Toback approached her at a deli across the street from her campus. He told her he was working on a movie called â€œBlack and White,â€ù that it starred boxer Tyson and he was casting complete unknowns. He asked if Scott was interested in acting. She was about to attend USC to study screenwriting. She thought she had made a fortuitous connection. Toback invited Scott to a taping of the â€œCharlie Roseâ€ù show, where he was part of a panel. After the taping, he told her, they could talk more about the movie. But as they walked the streets of Midtown, the conversation quickly veered into sexual territory, including queries about masturbation and pubic hair.",Allegation,30
Hollywood,Screenwriter,James Toback,1999,"In his trailer on the set of â€œBlack and White,â€ù Toback knelt in front of actress Echo Danon and, she says, put his hands on her thighs, telling her, â€œIf you look into my eyes and pinch my nipples, Iâ€™m going to come in my pants right now.â€ù She resisted. She felt helpless. Eventually he backed down.",Allegation,31
Hollywood,Screenwriter,James Toback,1998,"Terri Conn was 23 and acting on the soap opera â€œAs the World Turnsâ€ù when, she says, Toback approached her on the street. She was intrigued by his credentials and dreamed of being in an edgy independent film. Toback asked her to meet him in Central Park to discuss his process. He took her to a somewhat secluded area â€” there were people yards away â€” and told her the best way to get to know someone is to see their soul. And the way you can see someoneâ€™s soul is to look into their eyes when theyâ€™re experiencing orgasm. And he knelt before her and began humping her leg, telling Conn to look into his eyes.",Allegation,32
Hollywood,Screenwriter,James Toback,1994,"This woman asked to remain anonymous; she still feared for her safety 23 years after Toback humped her leg in his office until he ejaculated in his pants. Others interviewed for this story requested anonymity as well, fearing retaliation. One woman recounted the time when she met Toback at his New York home and he wouldnâ€™t let her leave until she grabbed his nipples and looked into his eyes while he masturbated.",Allegation,33
Hollywood,Screenwriter,James Toback,2000,"Another well-known actress had a similar experience in 2000 at a Los Angeles hotel during what she thought was to be an audition. As with so many other women, Toback told her he felt a connection with her but that she needed to display the sexual confidence the role required. She needed to remove her clothes. â€œI am really uncomfortable,â€ù she replied.â€œThatâ€™s the whole point of this exercise,â€ù she says Toback told her.",Allegation,34
Hollywood,Screenwriter,James Toback,1991,He was nominated for the Academy Award for Best Original Screenplay in 1991 for Bugsy.,Achievement,35
Hollywood,Screenwriter,James Toback,1974,"In 1974, Toback's screenplay The Gambler was produced.",Achievement,36
Hollywood,Screenwriter,James Toback,1978,His directorial dÃ©but was the 1978 film Fingers.,Achievement,37
Hollywood,Screenwriter,James Toback,1997,"In 1997, Toback wrote and directed the comedy Two Girls and a Guy.",Achievement,38
Hollywood,Screenwriter,James Toback,1999,"In 1999, he wrote and directed Black and White in collaboration with members of Wu-Tang Clan.",Achievement,39
Hollywood,Screenwriter,James Toback,2001,He then wrote and directed Harvard Man starring Adrian Grenier in 2001.,Achievement,40
Hollywood,Screenwriter,James Toback,2004,"In 2004, Toback wrote and directed When Will I Be Loved.",Achievement,41
Hollywood,Screenwriter,James Toback,2008,"In 2008, Toback directed Tyson, a documentary about boxer Mike Tyson.",Achievement,42
Hollywood,Screenwriter,James Toback,2013,"Toback teamed with Alec Baldwin in 2013 to create and release a full-length movie called Seduced and Abandoned, which features a look into how movies are financed.",Achievement,43
Hollywood,Screenwriter,James Toback,2017,"Toback's The Private Life of a Modern Woman, starring Sienna Miller, premiered at the 2017 Venice Film Festival.",Achievement,44
Hollywood,Producer,Harvey Weinstein,Late 1970s,"Weinstein allegedly raped Hope Exiner dâ€™Amore, an employee of his concert promotion company, in Park Lane Hotel in Manhattan, after claiming that there had been a reservation mistake that meant theyâ€™d have to share a hotel room.",Allegation,45
Hollywood,Producer,Harvey Weinstein,1980,"While working on his first movie, The Burning, Weinstein allegedly discarded his clothes and asked intern Paula Wachowiak for a massage when she dropped by his hotel room to deliver checks. Later, he said to Wachowiak, â€œSo, was seeing me naked the highlight of your internship?â€ù",Allegation,46
Hollywood,Producer,Harvey Weinstein,1984,"Weinstein invited college junior Tomi-Ann Roberts to his hotel in New York for a meeting ostensibly about a role in an upcoming film, and allegedly he summoned her to the bathtub, where he was nude, and pressured her to take off her clothes.",Allegation,47
Hollywood,Producer,Harvey Weinstein,1984,"Weinstein allegedly kissed a female crew member of Playing for Keeps. She resisted, but he forced her onto a bed and tried to perform oral sex on her. She told lead producer Alan Brewer what had happened but declined to file a police report, saying she didnâ€™t want to lose her job.",Allegation,48
Hollywood,Producer,Harvey Weinstein,1987,"After allegedly grabbing actress Lysette Anthony at his rented home in Chelsea, Weinstein later appeared at Anthonyâ€™s home and raped her, the actress says. Afterward, she felt obligated by her career to continue meeting with the producer.",Allegation,49
Hollywood,Producer,Harvey Weinstein,1988,"While at the Savoy Hotel, Weinstein asked former office assistant and aspiring actress Lisa Rose for a massage. Rose had been warned of his behavior, so she rejected him and moved to a different room",Allegation,50
Hollywood,Producer,Harvey Weinstein,1989,Weinstein allegedly forced former actress Heather Kerr to touch his genitals during a Los Angeles meeting. Kerr subsequently quit acting.,Allegation,51
Hollywood,Producer,Harvey Weinstein,1990,"Weinstein summoned actress Kate Beckinsale, then 17, to his room at the Savoy Hotel, allegedly meeting with her while wearing only a bathrobe and offering her alcohol. Uncomfortable, she gave an excuse for leaving. â€œA few years later he asked me if he had tried anything with me in that first meeting. I realized he couldn't remember if he had assaulted me or not,â€ù she recalled this week. Beckinsale says her subsequent rejections of his advances over the years â€œundoubtably harmed my career.â€ù",Allegation,52
Hollywood,Producer,Harvey Weinstein,1990,"Weinstein allegedly pushed actress Sophie Dix onto a bed at the Savoy Hotel and pulled at her clothes. Dix then locked herself in the bathroom, and when she opened the door, she found Weinstein facing her and masturbating. Dix spoke to colleagues about the â€œdamagingâ€ù incident, and months later, Weinstein called her to demand she â€œstop talking.â€ù",Allegation,53
Hollywood,Producer,Harvey Weinstein,1992,"Weinstein allegedly asked actress Rosanna Arquette for a massage and tried to put her hand on his penis. When she rejected him, he said, â€œYouâ€™re making a big mistake.â€ù Subsequently, Arquette faced career struggles; Weinstein â€œmade things very difficult to me for years,â€ù she told the New Yorker.",Allegation,54
Hollywood,Producer,Harvey Weinstein,1993,"After artist and director Tara Subkoff was informally offered a role in a Weinstein movie, the producer allegedly pulled her onto his lap at a premiere party. Noticing his erection, Subkoff moved away, and Weinstein propositioned her. Subkoff immediately left the gathering and found herself blacklisted by rumors and removed from the new role.",Allegation,55
Hollywood,Producer,Harvey Weinstein,1994,"During a tour of his Tribeca office, Weinstein placed aspiring actress Louise Godbold's hand on his crotch, she wrote in a blog post. At a later meeting in Los Angeles, he allegedly pressured her into giving him a massage in his hotel bed.",Allegation,56
Hollywood,Producer,Harvey Weinstein,1991,Weinstein allegedly badgered former employee Laura Madden for massages at various hotels in Dublin and London.,Allegation,57
Hollywood,Producer,Harvey Weinstein,1991,"Weinstein allegedly exposed himself to actress Sean Young while on the set of Love Crimes, a Miramax-produced film.",Allegation,58
Hollywood,Producer,Harvey Weinstein,1992,"Weinstein allegedly violently raped actress Annabella Sciorra after dropping her off at her New York apartment. After the incident, she faced professional difficulties for three years, which she attributes to the â€œHarvey machine.â€ù Later, Weinstein continued to make unwelcome sexual advances, including showing up at Sciorraâ€™s hotel room in his underwear, banging on her door, calling, and sending cars to pick her up.",Allegation,59
Hollywood,Producer,Harvey Weinstein,1992,"Weinstein allegedly assaulted a woman in London, according to a report received by the London Metropolitan Police.",Allegation,60
Hollywood,Producer,Harvey Weinstein,1993,Weinstein allegedly exposed himself and chased Swingersactress Katherine Kendall around a room in his apartment. Kendall says the traumatic encounter diminished the allure of working in the entertainment industry.,Allegation,61
Hollywood,Producer,Harvey Weinstein,1994,"Weinstein allegedly made a sexual advance toward Gwyneth Paltrow, then in her 20s, in his hotel suite. After Brad Pitt, Paltrowâ€™s boyfriend at the time, confronted Weinstein, the producer allegedly warned her to stay silent about the encounter.",Allegation,62
Hollywood,Producer,Harvey Weinstein,1994,"Weinstein allegedly assaulted a woman in London, according to the London Metropolitan Police.",Allegation,63
Hollywood,Producer,Harvey Weinstein,1995,"At the Toronto International Film Festival, Weinstein allegedly harassed actress Mira Sorvino. Later, Weinstein allegedly arrived at her apartment late one night for a marketing meeting heâ€™d suggested, only to leave once she lied that her new boyfriend was heading over.",Allegation,64
Hollywood,Producer,Harvey Weinstein,1995,"After repeated invitations from Weinstein and pressure from her agent to meet with the producer, French actress Florence Darel visited Weinstein's room at the Ritz Hotel in Paris. Despite's his then-wife's presence in the room next door, the Miramax mogul allegedly asked Darel to become his occasional mistress so she could continue to work with him.",Allegation,65
Hollywood,Producer,Harvey Weinstein,1996,"Weinstein allegedly propositioned actress Ashley Judd in his hotel suite, and she rejected him. She has since appeared in Miramax movies but only years after the incident.",Allegation,66
Hollywood,Producer,Harvey Weinstein,1996,"Weinstein allegedly harassed French actress Judith GodrÃ¨che while in Cannes. When she called the female executive whoâ€™d been present at an earlier meeting, the woman told her not to speak out, as it might hurt the success of a soon-to-be-released film in which she'd starred.",Allegation,67
Hollywood,Producer,Harvey Weinstein,1997,"Weinstein reached a $100,000 settlement with actress Rose McGowan after she alleged an incident in a hotel room at the Sundance Film Festival. While she wasnâ€™t quoted in the New Yorker and New York Times exposÃ©s, in a tweet Thursday aimed at Amazon CEO Jeff Bezos, McGowan wrote, â€œI told the head of your studio that HW raped me. Over & over I said it.",Allegation,68
Hollywood,Producer,Harvey Weinstein,1997,"After a Cannes party, Weinstein and his entourage brought model ZoÃ« Brock to the Hotel Du Cap. When Weinsteinâ€™s hotel room emptied, he allegedly removed his clothes and asked for a massage and then chased Brock when she fled for the bathroom. After Brock demanded to go home, Weinsteinâ€™s assistant told her, â€œOf all the girls he does this to you are the one I really felt bad about.""",Allegation,69
Hollywood,Producer,Harvey Weinstein,1997,"Italian actress Asia Argento says Weinstein forcibly performed oral sex on her after she arrived at Weinsteinâ€™s hotel thinking she was attending a Miramax party. Argento later had a relationship with Weinstein, during which she agreed to have sex with him because she felt ""obliged,"" but says she was always haunted by the initial rape.",Allegation,70
Hollywood,Producer,Harvey Weinstein,1998,Weinstein allegedly harassed actress Angelina Jolie in a hotel room.,Allegation,71
Hollywood,Producer,Harvey Weinstein,1998,"At a meeting with filmmaker Sarah Polley, her publicist, and one of Weinsteinâ€™s employees, the Guinevere actress, then 19, says Weinstein encouraged her to form a â€œclose relationshipâ€ù with him to further her career.",Allegation,72
Hollywood,Producer,Harvey Weinstein,1998,Weinstein settled with London assistant Zelda Perkins after she threatened to pursue legal recourse or publicly share Weinsteinâ€™s inappropriate interactions with her and other female colleagues.,Allegation,73
Hollywood,Producer,Harvey Weinstein,1999,"Weinstein allegedly used the bathroom and took a shower while talking business with actress Lauren Holly at his hotel, then approached her naked and suggested they give each other massages. Holly says he warned her it would be a ""bad decision"" to leave the room. When she shared her experience with fellow industry insiders at a dinner later that day, Holly says they told her that since it hadn't been assault, she should keep quiet.",Allegation,74
Hollywood,Producer,Harvey Weinstein,1999,"Allegedly Weinstein repeatedly propositioned actress and writer Marisa Coughlan, then 25, during meetings at the Peninsula and a L.A. restaurant, trying to ""barter sex for movie roles,"" she says. Coughlan rejected him multiple times and ultimately didn't get the part she and Weinstein had discussed.",Allegation,75
Hollywood,Producer,Harvey Weinstein,2000,"During the filming of Get Over It, Weinstein allegedly blocked the door of his hotel room and refused to let actress Melissa Sagemiller, then 24, leave until sheâ€™d kissed him. Later, she says, he â€œkidnappedâ€ù her bags from her airport flight so sheâ€™d be forced to join him and others on his private plane. While Sagemiller talked with the cast, Weinsteinâ€™s producing partner told her, â€œDonâ€™t say anything â€_ it will definitely hurt your career. This is Harvey.""",Allegation,76
Hollywood,Producer,Harvey Weinstein,2001,"Weinstein offered Heather Graham her choice of a movie role, then talked about an open-relationship agreement he had with his wife, implying, Graham thought, that he would give her work in exchange for sex. Later Weinstein lied to try to get Graham into a one-on-one meeting that she cancelled.",Allegation,77
Hollywood,Producer,Harvey Weinstein,2002,"Weinstein banged on actress Daryl Hannahâ€™s hotel-room door in Cannes two nights in a row. Later, in the Hassler Roma hotel, he allegedly asked Hannah to let him feel her breasts. Hannah â€œexperienced instant repercussions,â€ù including a cancelled hotel room and flights.",Allegation,78
Hollywood,Producer,Harvey Weinstein,2002,"Weinstein allegedly groped Australian actress Natalie Mendoza during the filming of The Great Raid, and she threatened to punch him.",Allegation,79
Hollywood,Producer,Harvey Weinstein,2000,"While on a yacht at Cannes, model Angie Everhart awoke from a nap to see Weinstein allegedly masturbating and blocking a door. He warned her to stay quiet about it, but when Everhart told friends, they replied, â€œOh thatâ€™s just Harvey.â€ù",Allegation,80
Hollywood,Producer,Harvey Weinstein,2001,"Weinstein wore only a bathrobe for a meeting at the Savoy Hotel in London with actress Romola Garai about a role in Dirty Dancing: Havana Nights. While she went on to appear in the film, the episode left the actress feeling â€œviolated.â€ù",Allegation,81
Hollywood,Producer,Harvey Weinstein,2002,"Actress Alice Evans says Weinstein asked her to go with him to a bathroom at a Cannes Film Festival party. ""I want to touch your tits. Kiss you a little,"" Weinstein allegedly said, and when she rejected his advances, implied that her refusal would cost her then-boyfriend, fellow actor Ioan Gruffudd, a part for which he'd recently auditioned. Gruffudd did not get the part.",Allegation,82
Hollywood,Producer,Harvey Weinstein,2003,"Weinstein allegedly offered aspiring actress Dawn Dunning roles in upcoming films in exchange for a threesome. She says that when she refused, he told her, â€œYouâ€™ll never make it in this business.""",Allegation,83
Hollywood,Producer,Harvey Weinstein,2003,"After making sexual comments over dinner about model Samantha Panagrosso on a yacht at Cannes, Weinstein allegedly went to her room, pushed her onto the bed, and groped her. When Panagrosso told friends in the industry, they wrote off the producerâ€™s behavior as typical.",Allegation,84
Hollywood,Producer,Harvey Weinstein,2003,"After making eye contact with Weinstein at a party hosted by Vogue editor Anna Wintour, model Trish Goff was invited to have lunch with Weinstein at the Tribeca Grill. While dining in a private room, he allegedly groped and attempted to kiss her, not relenting until Goff escaped into the public dining area.",Allegation,85
Hollywood,Producer,Harvey Weinstein,2004,"Despite Ashley (Anderson) Matthauâ€™s protests that she was engaged, Weinstein allegedly brought the Dirty Dancing: Havana Nights dancer to his Puerto Rico hotel room, fondled her breasts, then straddled and masturbated on her. Prior to the encounter, Matthau says she told the production team of her worry about Weinsteinâ€™s pushy invitations, but no one offered guidance. Afterward, Weinsteinâ€™s legal team told Matthau, â€œWeâ€™ll drag you through the mud by your hairâ€ù if she went public, so she ultimately signed a settlement of more than $100,000.",Allegation,86
Hollywood,Producer,Harvey Weinstein,2004,"Aspiring actress Lucia Stoller (now Lucia Evans), then a rising senior at Middlebury College, was allegedly made to perform oral sex on Weinstein during a daytime meeting at Miramaxâ€™s Tribeca office. After the incident, Weinstein continued to call her late at night.",Allegation,87
Hollywood,Producer,Harvey Weinstein,2004,"Weinstein allegedly moved a public meeting with Katya Mtsitouridze, a prominent figure in the Russian film industry, to his Venice hotel room, greeted her in a bathrobe, and suggested a massage. A decade later, she ran into the producer, who she says told her, ""Don't even think about saying anything.""",Allegation,88
Hollywood,Producer,Harvey Weinstein,2005,"After meeting Lena Headey at the Cannes Film Festival, Weinstein allegedly propositioned the English actress. She refused him and has not appeared in another Miramax film since. Years later, the Game of Thrones actress says the producer invited her to his hotel room in L.A. When she made clear to him in the elevator that the meeting was to be strictly professional, Weinstein became enraged and warned her to tell no one.",Allegation,89
Hollywood,Producer,Harvey Weinstein,2005,"Weinstein placed his hand on actress Connie Nielsenâ€™s thigh at a dinner celebrating the opening night of The Great Raid, Nielsen wrote in Variety. She had previously warned co-stars to stay away from the producer.",Allegation,90
Hollywood,Producer,Harvey Weinstein,2006,"Allegedly, after several previous advances, Weinstein invited a production assistant, Mimi Haleyi, to his New York City home and â€œorally forced himself on me while I was on my period.""",Allegation,91
Hollywood,Producer,Harvey Weinstein,2007,"Weinstein allegedly groped Brazilian model Juliana De Paula and forced her to kiss other models, then followed her around naked as she tried to leave his New York City apartment.",Allegation,92
Hollywood,Producer,Harvey Weinstein,2007,"When New York journalist Lauren Sivan dodged an unwanted kiss, Weinstein allegedly masturbated in front of her at the Cafe Socialista restaurant.",Allegation,93
Hollywood,Producer,Harvey Weinstein,2008,"During at pitch meeting in his hotel room at Sundance Film Festival in Park City, Utah, Weinstein allegedly exposed himself to screenwriter and actress Louisette Geiss and entreated her to watch him masturbate in the nearby hot tub.",Allegation,94
Hollywood,Producer,Harvey Weinstein,2008,"Weinstein allegedly showed up to actress and model Natassia Maltheâ€™s London hotel room and raped her. At a later meeting, Malthe said, he tried to initiate a threesome.",Allegation,95
Hollywood,Producer,Harvey Weinstein,2008,"Weinstein interviewed a potential babysitter, actress and writer Sarah Ann Masse, while in his boxers and undershirt at his Connecticut home. He allegedly ended the meetingâ€”during which he made his children leave the roomâ€”with an uncomfortably long hug and told Masse, â€œI love you.â€ù She ultimately didn't get the job.",Allegation,96
Hollywood,Producer,Harvey Weinstein,2010,"After Vietnamese actress and model Vu Thu Phuongâ€™s scenes were cut from one of his films, Weinstein, wearing only a towel, allegedly offered to teach actress how to perform sex scenes, as his upcoming movies required them. Phuong turned him down, and the episode discouraged her from further pursuing acting.",Allegation,97
Hollywood,Producer,Harvey Weinstein,2010,"Weinstein allegedly revealed himself and demanded sex from French actress Emma de Caunes after a lunch meeting. Later that day, he called repeatedly and offered her gifts.",Allegation,98
Hollywood,Producer,Harvey Weinstein,2010,"At a dinner in the Peninsula Hotel with director Lina Esco, Weinstein allegedly pressured Esco for a kiss; she refused repeatedly. Later, he helped her secure an editor for her film Free the Nipple.",Allegation,99
Hollywood,Producer,Harvey Weinstein,2010,"Weinstein offered masseuse Juls Bindi a book deal, then at a later appointment, allegedly masturbated before her and groped her breasts.",Allegation,100
Hollywood,Producer,Harvey Weinstein,2010,Allegedly Weinstein forcibly performed oral sex on and then masturbated in front of actress and model Dominique Huett at a meeting in the Peninsula Hotel. Huett has now sued the Weinstein Company for its negligence in failing to protect her from Weinsteinâ€™s assault.,Allegation,101
Hollywood,Producer,Harvey Weinstein,2011,"Weinstein allegedly pressured actress Jessica Barth to give him a naked massage at the Peninsula Hotel. She rejected his advances. As Barth left, he gave her the contact information of a female executive to appease her.",Allegation,102
Hollywood,Producer,Harvey Weinstein,2011,"While attending the Asian Film Awards in Hong Kong, the producer allegedly asked Singaporean actress Caitanya Tan to read scripts in his hotel room. When she replied that felt uncomfortable going to his room, Weinstein said, â€œDo you know who I am? Do you know how I can make you very famous?â€ù",Allegation,103
Hollywood,Producer,Harvey Weinstein,2011,"Weinstein allegedly groped Lacey Dorn, an aspiring filmmaker whoâ€™d recently graduated from Stanford, at a Halloween party at the Gramercy Park Hotel. Dornâ€™s friends dismissed the unwanted contact as a â€œrite of passageâ€ù in the industry.",Allegation,104
Hollywood,Producer,Harvey Weinstein,2011,"Weinstein allegedly asked to massage actress Lupita Nyongâ€™o, then a student at the Yale School of Drama, while hosting a screening at his Connecticut home. The actress offered to massage him instead, then made a quick exit when he moved to remove his pants. Weinstein and Nyongâ€™o met professionally again, and in an op-ed in the New York Times, the actress writes that he tried to move a lunch at the Tribeca Grill to a private room and noted how heâ€™d helped other actressâ€™ careers. Nyongâ€™o refuted his advances and vowed never to act in a Weinstein movie.",Allegation,105
Hollywood,Producer,Harvey Weinstein,2010,"After a meeting with a director about a potential upcoming role, Weinstein allegedly asked actress Cara Delevingne, who is bisexual, to kiss a woman in his hotel room and, as Delevingne left, attempted to kiss the actress himself. Delevingne ultimately got the part.",Allegation,106
Hollywood,Producer,Harvey Weinstein,2013,"An anonymous Italian model-actress says that Weinstein unexpectedly showed up to her hotel, the Mr. C Beverly Hills, grabbed her hair, and allegedly raped her. The anonymous woman, now 38, reported the incident to the Los Angeles Police Department on October 19, 2017.",Allegation,107
Hollywood,Producer,Harvey Weinstein,2013,Weinstein allegedly propositioned actress Amber Anderson and tried to move her hand to touch him inappropriately. He also warned her that telling others of the private meeting would affect her â€œopportunities.â€ù,Allegation,108
Hollywood,Producer,Harvey Weinstein,2013,"After a tea with Weinstein at the Peninsula Hotel, actress and comic Chelsea Skidmore alleges Weinstein requested a massage and, when she turned him down, masturbated in front of her. At three meetings over the next three years, Weinstein exposed himself or pushed Skidmore to â€œget physical,â€ù in the words of a Washington Post article, with other women.",Allegation,109
Hollywood,Producer,Harvey Weinstein,2014,"Weinstein allegedly asked writer and actress Brit Marling to shower with him during a meeting in his hotel room, Marling wrote in the Los Angeles Times.",Allegation,110
Hollywood,Producer,Harvey Weinstein,2014,"Weinstein allegedly propositioned temporary front-desk assistant Emily Nestor repeatedly in a breakfast meeting her second day of work. A friend alerted human resources, but Nestor didnâ€™t push the complaint further and ultimately decided not to go into the entertainment industry.",Allegation,111
